Latitude,Longitude,Company
"30° 02' 54.53"" S","51° 13' 15.06"" W",Mobile-1
"29° 20' 02.00"" S","53° 05' 48.00"" W",Mobile-1
"29° 46' 45.85"" S","50° 01' 48.46"" W",Mobile-1
"29° 52' 00.00"" S","50° 04' 32.00"" W",Mobile-1
"29° 52' 04.09"" S","50° 04' 16.61"" W",Mobile-1
"28° 58' 44.00"" S","52° 00' 51.00"" W",Mobile-1
"29° 54' 34.40"" S","50° 05' 39.50"" W",Mobile-1
"29° 38' 34.80"" S","53° 15' 00.89"" W",Mobile-1
"28° 44' 53.99"" S","50° 03' 28.22"" W",Mobile-1
"29° 59' 43.51"" S","51° 04' 32.01"" W",Mobile-1
"30° 08' 54.17"" S","51° 13' 16.86"" W",Mobile-1
"30° 01' 16.72"" S","51° 09' 48.10"" W",Mobile-1
"29° 34' 37.53"" S","52° 17' 21.85"" W",Mobile-1
"29° 45' 08.60"" S","50° 01' 19.70"" W",Mobile-1
"28° 15' 20.10"" S","52° 24' 01.40"" W",Mobile-1
"29° 59' 33.97"" S","51° 13' 03.97"" W",Mobile-1
"29° 39' 08.00"" S","50° 34' 26.00"" W",Mobile-1
"29° 26' 52.00"" S","51° 48' 19.00"" W",Mobile-1
"30° 40' 26.20"" S","51° 23' 54.40"" W",Mobile-1
"29° 49' 50.00"" S","50° 31' 14.00"" W",Mobile-1
"30° 51' 10.00"" S","51° 48' 55.00"" W",Mobile-1
"29° 00' 54.00"" S","52° 05' 14.00"" W",Mobile-1
"30° 02' 24.75"" S","52° 53' 58.93"" W",Mobile-1
"32° 34' 22.00"" S","53° 22' 48.00"" W",Mobile-1
"31° 46' 00.90"" S","52° 20' 27.50"" W",Mobile-1
"31° 19' 50.00"" S","54° 06' 20.00"" W",Mobile-1
"31° 23' 46.00"" S","52° 40' 41.00"" W",Mobile-1
"27° 57' 12.00"" S","51° 47' 30.00"" W",Mobile-1
"28° 27' 01.00"" S","52° 12' 00.00"" W",Mobile-1
"28° 51' 27.00"" S","51° 16' 53.00"" W",Mobile-1
"29° 26' 40.00"" S","50° 34' 52.00"" W",Mobile-1
"28° 47' 06.00"" S","51° 36' 36.00"" W",Mobile-1
"29° 10' 10.30"" S","51° 09' 47.60"" W",Mobile-1
"28° 19' 18.00"" S","52° 47' 48.00"" W",Mobile-1
"29° 22' 41.00"" S","50° 52' 29.00"" W",Mobile-1
"28° 39' 54.00"" S","56° 00' 36.00"" W",Mobile-1
"28° 01' 45.00"" S","54° 21' 08.00"" W",Mobile-1
"28° 17' 40.00"" S","53° 29' 44.00"" W",Mobile-1
"30° 15' 05.00"" S","54° 55' 32.00"" W",Mobile-1
"28° 23' 28.00"" S","53° 55' 04.00"" W",Mobile-1
